paragraph,paragraphNumber,filePath,fileName,matchingKey,PoliceReform,Operations_PatrolsInterventions,StateAdministration,RefugeeAssistance,ElectionAssistance,LegalReform,CivilSocietyAssistance
"43. During the same period, MINUJUSTH continued to provide technical support to four legal aid projects providing access to justice to vulnerable individuals financed by its community violence reduction programme. The two legal aid offices of the Port-au-Prince Bar Association opened 2,249 new cases, held 1,961 consultations, filed 100 habeas corpus requests and contributed to the release of 250 pretrial detainees during the reporting period. A third legal aid project started its activities at the centre for the re-education of minors in conflict with the law and created a registry and judges to improve the handling of cases involving minors. Similarly, a pilot multidisciplinary legal aid project at the women’s prison of Cabaret (West region), launched by UN-Women in 2017, was expanded in September to provide legal assistance and psychosocial support to all the 258 women and girls in detention. The investigating judges issued 14 orders; nine releases were obtained through this project (after 5, 6, 7 and 11 months of extended detention, respectively).",43,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,False
"48. The adoption of the law on legal assistance by the legislative branch on 10 September and its promulgation on 26 October constituted a major step that will significantly improve access to justice. In order to create a framework for the implementation of the law, the Ministry of Justice and Public Security established a technical committee, to which MINUJUSTH is contributing. The Committee will support the Ministry in the diffusion and implementation of the law by developing an action plan and a budget and designing rules, regulations and application tools.",48,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,True,False
"49. MINUJUSTH, in accordance with its mandate, has also continued its support to the control bodies of the Ministry of Justice and Public Security and the Superior MINUJUSTH provided assistance to the Ministry in its inspection services through a series of activities, to perform inspection missions, in the public prosecutor’s offices in the 18 courts of first instance and 5 courts of appeal during the judicial year 2018– 2019. MINUJUSTH supported one workshop on performance indicators and inspection tools for prosecutors, held from 2 to 4 October, another one on the development plan of the judicial inspectorate, held on 10 and 11 October, and one on capacity-building and exchanges of experiences, held on 24 and 25 October. In addition, MINUJUSTH provided technical assistance and supported the directorate of the judicial inspectorate of the Superior Council of the Judiciary, for a five-day retreat, held from 8 to 12 October, on the careers and evaluation of magistrates.",49,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,False
"50. In the framework of the joint rule of law programme, MINUJUSTH and UN-Women provided training on the impact of prolonged pretrial detention of women and girls to 80 penal system officials from nine jurisdictions. The training also included information on international and regional human rights instruments such as the American Convention on Human Rights.",50,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,False
"51. While important steps have been taken towards enhancing the administrative, managerial and operational capacities of the Directorate of Prison Administration and to improve detention conditions, the draft prison law aimed at the improvement of prisons and the organic law elevating the Directorate of Prison Administration to a central directorate within the national police, with its own financial and administrative autonomy, have not made much progress. The final draft of the prison law is pending validation by the Directorate, and the organic law is under review by the Minister of Justice and Public Security. Increased political engagement and enhanced use of good offices of the Special Representative of the Secretary-General support efforts to achieve this goal.",51,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,False,False,True,False
"52. As at 15 October, the Directorate of Prison Administration was responsible for a total of 11,755 detainees, including 417 women, 278 boys and 15 girls. The occupancy rate stood at 364 per cent, based on the national standard of 2.5 square metres per detainee. The international standard is 4.5 square metres. Extreme overcrowding and poor hygiene conditions in most facilities have contributed to health problems among detainees, such as skin diseases, tuberculosis, diarrhoea and urinary tract infections. The death rate among detainees has increased from 8 per 1,000, as noted in my most recent report to 11.8 per 1,000 on a projected yearly basis, as at 15 October. The three leading causes of death among detainees are tuberculosis, malnutrition and cardiovascular diseases. The increase in the death rate is mostly due to irregular food deliveries and a shortage of medical staff and medication. Regular payment of suppliers has remained a challenge over the past years. Increased financial and administrative autonomy for the Prison Administration could help to prevent those recurring challenges. The Prison Administration, with support from MINUJUSTH, is implementing the medical road map and the emergency health directives, developing stronger partnerships with the Ministry of Public Health and Population, the World Health Organization and the non-governmental organization Health through Walls.",52,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,False
"54. The Prison Administration, with the support of MINUJUSTH, elaborated the terms of reference and criteria to certify that prisons operate following national and international norms regarding, inter alia, detention conditions, security, administrative management and reintegration, and are therefore able to operate without full-time support from international actors. A workshop was held on 5 September for 23 senior staff of the Prison Administration and Haitian national police, to sensitize them on the certification criteria and to promote national ownership of the process.",54,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,False
"57. The General Inspectorate of the national police, with support from MINUJUSTH, is in the process of standardizing its criteria as part of the process to improve accountability for human rights violations committed by the national police. Between 1 July and 30 September, the General Inspectorate conducted administrative investigations of 93 per cent of the allegations of human rights violations received. During the reporting period, MINUJUSTH monitored 15 incidents of human rights violations allegedly committed by the national police, which resulted in 51 casualties. Most incidents pertained to allegations of excessive use of force and ill-treatment of detainees following arrest. The Inspectorate has opened administrative investigations into 14 of these incidents. While in most cases no judicial proceedings were initiated, in four incidents the officers allegedly responsible were arrested and face prosecution. This reflects an improvement in relation to the previous reporting period, in which only one incident proceeded to the prosecution stage but will still require the sustained commitment of relevant authorities to ensure that 100 per cent of confirmed crimes or human rights violations committed by national police and Directorate of Prison Administration officers prosecuted. The Mission will continue to advocate for full and transparent accountability for these incidents.",57,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,False,False,False,False
"58. In August, as part of the Mission’s efforts to reduce community violence, MINUJUSTH delivered a training in Hinche (Centre region) to reinforce the capacity of local non-governmental organizations to monitor and report on allegations of demonstrated a deeper knowledge of the subject matter. Similar trainings were delivered in Les Cayes (South region) and Gonaïves (Artibonite region) to staff of the Office of the National Human Rights Ombudsperson. MINUJUSTH also provided technical support to the Inter-Ministerial Committee for Human Rights in organizing a workshop, held in October, on the elaboration of the second report by Haiti to the Human Rights Committee regarding its implementation of the International Covenant on Civil and Political Rights. During the reporting period, local non-governmental organizations have submitted two complaints to the Special Procedures of the Human Rights Council.",58,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,True
"59. In a follow-up to a colloquium organized in September 2017 by the Office of the United Nations High Commissioner for Human Rights, in October MINUJUSTH held a workshop on the fight against impunity for past human rights violations for representatives of civil society organizations. The aim was to identify concrete actions that non-governmental organizations can take to advance the fight against impunity, including their role in preparing the national work plan on impunity. E. Anti-corruption and Permanent Electoral Council (benchmarks 10 and 11)",59,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,True
"63. The Prime Minister and the Special Representative of the Secretary-General and Head of MINUJUSTH established a joint commission composed of advisers of the Prime Minister and Mission staff, with the active participation of United Nations bottlenecks in the implementation of the MINUJUSTH mandate and exit strategy and to make progress on common priorities. During the reporting period, the joint commission met on three occasions to discuss the sustainability of progress beyond the withdrawal of the Mission with regards to, inter alia, prison overcrowding, prolonged pretrial detention, support to the justice sector and the reduction of community violence. The joint commission has made progress in increasing government understanding of the MINUJUSTH transition process, obtaining agreement for the construction of two tribunals in vulnerable areas of the greater Port- au-Prince metropolitan area, and at the request of the Government, the launch of a dialogue on the electoral process.",63,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,True,False,False
"69. No new allegations of sexual exploitation and abuse have been reported. MINUJUSTH continued the implementation of the three-pronged conduct and discipline strategy for all categories of United Nations personnel. The Mission pursued its prevention activities, including training, risk assessment and public information, to sensitize the Haitian population to United Nations standards of conduct, in particular the zero-tolerance policy on sexual exploitation and abuse, complemented by remedial action. As part of the remedial action, the Mission maintained continuous communication and referral for assistance of the victims of sexual exploitation and abuse.",69,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,False
"14. The Mission’s police component continued to provide operational support to the national police by participating in 376 joint temporary checkpoints, 648 foot patrols, 1,497 vehicle patrols, 7 joint police operations, and 8 crowd control operations related to protests in Port-au-Prince.",14,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,True,True,False,False,False,False,False
"19. On 11 January, in close coordination with the Government of Haiti, the Humanitarian Country Team in Haiti launched the revised Humanitarian Response Plan for 2017–2018. Humanitarian challenges in Haiti remain directly related to longer-term development constraints, as highlighted by the Deputy Secretary- General, Amina J. Mohammed, following her visit to Haiti from 3 to 5 November, together with the Special Envoy for Haiti, Josette Sheeran. On 7 December 2017, the Minister of Planning and External Cooperation and the Deputy Special Representative, together with the Heads of the United Nations country team in Haiti, signed the joint workplans under the United Nations Development Assistance Framework 2017–2021. The workplans cover the period from October 2017 to December 2018 and include the country team activities relating to the five outcomes of the Framework, namely poverty reduction and employment; access to basic social services; protection and gender equality; resilience; and governance. The outcomes workplans were prepared by the outcome groups and national counterparts and validated through a national consultation held on 31 October. In addition, a mainstreaming, acceleration and policy support mission was conducted from 28 January to 3 February, aimed at informing the existing draft national road map on the Sustainable Development Goals, including the selection of priority Goals. The mission also helped to strengthen the humanitarian-development nexus and ascertain that disaster-preparedness work and humanitarian interventions are reflected in the process. A. Police development",19,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,False,False,True,False,False,False,False
"21. The MINUJUSTH police component, in close consultation with the national police, established the mentoring and advisory programme, which aims at transferring essential skills to the middle and senior leadership of the national police. Countrywide initiatives were supported by MINUJUSTH to build the capacities of the national police in strategic and operational planning, criminal intelligence, investigations, organized crime, crime scene management, recruitment, training, gender mainstreaming, crowd control, information technology, communications, logistics and infrastructure maintenance. Efforts were also made to increase response capacity in investigating and preventing sexual and gender-based violence incidents through a training of trainers, courses in child interviewing and the management of crime scenes. In addition, the Mission conducted a seminar on sexual and gender-based violence for national police investigators and judges. In December, the Director- General of the national police approved measures to refurbish the premises of the Sexual Crimes Unit and assign 10 new investigators.",21,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,True,False,False,False,False,False,False
"22. From 24 to 27 October 2017, the General Inspectorate of the national police organized inspection missions to the Nippes Department and the North Department from 8 to 11 January 2018. MINUJUSTH police personnel stationed in the General Inspectorate provided mentorship at 46 police stations in the planning and conducting of inspection missions and in the preparation of after-action reports.",22,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,True,False,False,False,False,False,False
"23. The Land Border Directorate of the national police, quartered in a former United Nations facility in Morne Cassé in the North-East Department, was inaugurated on 27 December 2017. One hundred and fifty freshly graduated police officers, including 10 women, were assigned to the Directorate, which is expected to boost the security presence along the 388-kilometre border with the Dominican Republic. In October 2017, a new General Intelligence Directorate was created. As part of supporting the priority actions of the five-year plan of the national police, MINUJUSTH supported the drafting of the legal framework and regular follow-up on the implementation of activities of these two Directorates.",23,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,True,False,False,False,False,False,False
"24. Nine new construction and renovation projects were completed, three of which were financed through quick-impact projects, five through the joint rule of law programme 2016/17, including the provision of equipment to four police facilities in the Artibonite Department, and one by an international donor. The procurement of specialized equipment and training was financed through the joint rule of law programme to enhance the criminal investigation capacity of eight departmental national police investigators received training in interrogation techniques, search and seizures, crime scene management and skills for interviewing victims and witnesses of kidnapping, human trafficking and sexual and gender-based violence. B. Justice",24,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,True,False,False,False,False,False,False
"26. A “penal chain committee”, bringing together all rule of law actors to tackle prolonged pretrial detention, held its first coordination meeting in January in the model jurisdiction of Port-au-Prince, where MINUJUSTH focuses its capacity- building support to ensure successful results. Initiatives leading to improvements could become models for other jurisdictions throughout Haiti. Plans are being finalized to address the situation of 3,770 defendants in pretrial detention at the National Penitentiary, which will include two legal aid projects financed by MINUJUSTH and implemented by the Port-au-Prince Bar Association. The handling of incoming case files by the prosecutor of the Port-au-Prince tribunal, through the use of a real-time case file management system, dropped from 60 per cent in the previous reporting period to 48 per cent owing to intermittent strikes by justice sector workers.",26,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,False,False,False,False,False,False,False
"27. On 6 November, the first class of court clerks, comprising 40 law graduates, 8 of whom were women, began training at the school of magistrates. MINUJUSTH assisted the inaugural class through the delivery of courses on the management of incriminating evidence and legal archiving. On 17 November, the Superior Council of the Judiciary published the first results of the vetting of magistrates since it was created in 2012 and the Technical Vetting Commission was established in 2014. An administrative inquiry determined that 35 magistrates met the standards governing the profession, while 7 were recommended for dismissal due to misconduct. In December, President Moïse appointed 50 new judges on the basis of the recommendations of the Superior Council of the Judiciary, although he expressed some reservations on the soundness of a number of the recommendations. MINUJUSTH held extensive discussions with the Superior Council of the Judiciary to determine its needs and has been working closely with the Technical Vetting Commission to provide a tailored programme of assistance. This includes technical support for the validation of the vetting mechanism, as well as logistic assistance for field travel during investigations and the provision of office supplies.",27,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,False,False,False,False,False,False,False
"28. To help improve working conditions and access to justice in the Port-au-Prince model jurisdiction, MINUJUSTH is financing the construction of the justice of the are also under way for the reconstruction of the justice of the peace tribunal of the Southern District of Port-au-Prince. Both tribunals were destroyed during the 2010 earthquake and have since been temporarily seated in prefabricated buildings.",28,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,False,False,False,False,False,False,False
"29. On 8 February, MINUJUSTH and UNDP signed a memorandum of understanding to contribute to the funding of a draft joint rule of law programme 2017–2021, with $2,286,025 in assessed contributions under the current fiscal year. The draft joint rule of law programme will be aligned with the benchmarked exit strategy and is part of a multi-year resource mobilization strategy for the transition.",29,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,False,False,False,False,False,False,False
"31. The Directorate of Prison Administration and MINUJUSTH adopted a joint workplan aimed at improving detention conditions and modernizing the prison system in order to meet international human rights standards. The Directorate, with MINUJUSTH support, completed a draft penitentiary law, which is expected to be reviewed by Parliament in the current legislative calendar. Under the draft law, the Directorate of Prison Administration would be elevated to a central directorate within the national police, with authority over its own operational budget and human resources. MINUJUSTH also supported the drafting and launching on 10 November of the medical road map of the Directorate for improved inmate health care.",31,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,False,False,False,False,False,True,False
"32. The Mission continued to work with the Directorate of Prison Administration to provide targeted support for the implementation of related provisions in the strategic development plan of the national police for 2017–2021, in the areas of capacity- building, improvement in detention conditions and the reintegration of detainees upon their release. On 5 December, MINUJUSTH officially handed over equipment to record and manage data acquired through the joint rule of law programme for 2016/17, which will standardize detainee files, a valuable tool to protect prisoner rights, strengthen transparency and accountability and address prolonged pretrial detention.",32,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,True,False,False,False,False,False,False
"33. Since December, MINUJUSTH has deployed 38 Government-provided corrections personnel. Of those personnel, 23 were deployed to nine priority prisons, identified jointly with the Directorate of Prison Administration, which receive targeted support towards their certification as operating in accordance with minimum international standards without the need for international support. The remaining 15 provide strategic advice to the senior leadership of the Directorate of Prison Administration.",33,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,False,False,False,False,False,False,False
"35. On 13 November, the national police conducted an operation in Grand-Ravine (West Department), which sought to neutralize gang activity, with support from the United Nations police, who were responsible for securing the operation’s perimeter, but which resulted in grave violations against residents of the area. Unauthorized activities, beyond the scope of the operation, by national police officers resulted in the death of eight adult civilians, including two women, the serious beating of three persons and 32 arrests. In addition, one adult male was reported to have disappeared; his whereabouts remain unknown. Police investigations confirmed that human rights violations had been committed. One officer was dismissed from the police on 15 December 2017, but is still at large. The Inspectorate General conducted an internal investigation and transmitted its report to the court in Port-au-Prince on 26 December 2017. To date, no judicial measures have been taken to hold those involved accountable, despite repeated calls by MINUJUSTH for judicial investigations to bring the perpetrators to justice. MINUJUSTH is developing guidelines and standard operating procedures for the implementation of the United Nations human rights due diligence policy in relation to the support it provides to the national police. Through its police mentorship programme, and in collaboration with the leadership of the national police, MINUJUSTH will help to prevent such violations in the future.",35,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,True,True,False,False,False,False,False
"39. As a part of the Mission’s innovative community-based, political, rule of law and human rights approach, five multi-disciplinary and integrated mobile teams carried out field visits covering the 18 jurisdictions of Haiti. The teams coordinated with United Nations country team staff in the regions and met with representatives of State and non-State entities, including the national police, the Directorate of Prison Administration, political parties, labour unions, civil society and community-based organizations, including those representing women. Police stations and prisons were visited in all jurisdictions. Preliminary findings highlighted the negative influence of certain political actors on the judiciary, shortcomings in good governance and in the respect for the rule of law at all institutional levels across the country, as well as sexual and gender-based violence as a major and underreported concern. These observations and findings are being compiled into an overarching diagnostics report, which will be shared with national authorities to encourage them to take action towards strengthening rule of law institutions in the regions.",39,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,True,False,False,False,False,False,True
"40. Mobile teams are currently facilitating the identification, implementation, monitoring, and evaluation of community violence reduction projects and quick- impact projects in order to address some of the shortcomings identified during their visits. While the latter will aim to improve infrastructure and provide equipment for police, court and prison facilities, the community violence reduction projects will address the nexus between the rule of law, human rights, justice and corrections, and foster greater coordination among local authorities, communities, other national and international actors and the media, including through public outreach and community mediation. Two community violence reduction projects for the establishment of legal aid offices in support of prison inmates were launched in Port-au-Prince. In parallel, support for marginalized communities will be strengthened from the bottom up, through the implementation of labour-intensive projects to improve access to public services, reinsertion activities for male and female detainees and the creation of income-generating activities to address the root causes of crime. The specific needs of women, children and victims of sexual and gender-based violence will be addressed throughout these projects.",40,data/pdfs\MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241.pdf,MINUJUSTH_S_2018_241,False,False,False,False,False,False,False
